total_bill,tip,sex,smoker,day,time,size,tip_rate
20.65,3.35,M,No,Sat,dinner,3.0,0.162
17.92,4.08,M,No,Sat,dinner,2.0,0.228
20.29,2.75,F,No,Sat,dinner,2.0,0.136
15.77,2.23,F,No,Sat,dinner,2.0,0.141
39.42,7.58,M,No,Sat,dinner,4.0,0.192
19.82,3.18,M,No,Sat,dinner,2.0,0.16
17.81,2.34,M,No,Sat,dinner,4.0,0.131
13.37,2.0,M,No,Sat,dinner,2.0,0.15
12.69,2.0,M,No,Sat,dinner,2.0,0.158
21.7,4.3,M,No,Sat,dinner,2.0,0.198
19.65,3.0,F,No,Sat,dinner,2.0,0.153
9.55,1.45,M,No,Sat,dinner,2.0,0.152
18.35,2.5,M,No,Sat,dinner,4.0,0.136
15.06,3.0,F,No,Sat,dinner,2.0,0.199
20.69,2.45,F,No,Sat,dinner,4.0,0.118
17.78,3.27,M,No,Sat,dinner,2.0,0.184
24.06,3.6,M,No,Sat,dinner,3.0,0.15
16.31,2.0,M,No,Sat,dinner,3.0,0.123
16.93,3.07,F,No,Sat,dinner,3.0,0.181
18.69,2.31,M,No,Sat,dinner,3.0,0.124
31.27,5.0,M,No,Sat,dinner,3.0,0.16
16.04,2.24,M,No,Sat,dinner,3.0,0.14
38.01,3.0,M,Yes,Sat,dinner,4.0,0.079
26.41,1.5,F,No,Sat,dinner,2.0,0.057
11.24,1.76,M,Yes,Sat,dinner,2.0,0.157
48.27,6.73,M,No,Sat,dinner,4.0,0.139
20.29,3.21,M,Yes,Sat,dinner,2.0,0.158
13.81,2.0,M,Yes,Sat,dinner,2.0,0.145
11.02,1.98,M,Yes,Sat,dinner,2.0,0.18
18.29,3.76,M,Yes,Sat,dinner,4.0,0.206
17.59,2.64,M,No,Sat,dinner,3.0,0.15
20.08,3.15,M,No,Sat,dinner,3.0,0.157
16.45,2.47,F,No,Sat,dinner,2.0,0.15
3.07,1.0,F,Yes,Sat,dinner,1.0,0.326
20.23,2.01,M,No,Sat,dinner,2.0,0.099
15.01,2.09,M,Yes,Sat,dinner,2.0,0.139
12.02,1.97,M,No,Sat,dinner,2.0,0.164
17.07,3.0,F,No,Sat,dinner,3.0,0.176
26.86,3.14,F,Yes,Sat,dinner,2.0,0.117
25.28,5.0,F,Yes,Sat,dinner,2.0,0.198
14.73,2.2,F,No,Sat,dinner,2.0,0.149
10.51,1.25,M,No,Sat,dinner,2.0,0.119
17.92,3.08,M,Yes,Sat,dinner,2.0,0.172
44.3,2.5,F,Yes,Sat,dinner,3.0,0.056
22.42,3.48,F,Yes,Sat,dinner,2.0,0.155
20.92,4.08,F,No,Sat,dinner,2.0,0.195
15.36,1.64,M,Yes,Sat,dinner,2.0,0.107
20.49,4.06,M,Yes,Sat,dinner,2.0,0.198
25.21,4.29,M,Yes,Sat,dinner,2.0,0.17
18.24,3.76,M,No,Sat,dinner,2.0,0.206
14.31,4.0,F,Yes,Sat,dinner,2.0,0.28
14.0,3.0,M,No,Sat,dinner,2.0,0.214
7.25,1.0,F,No,Sat,dinner,1.0,0.138
10.59,1.61,F,Yes,Sat,dinner,2.0,0.152
10.63,2.0,F,Yes,Sat,dinner,2.0,0.188
50.81,10.0,M,Yes,Sat,dinner,3.0,0.197
15.81,3.16,M,Yes,Sat,dinner,2.0,0.2
26.59,3.41,M,Yes,Sat,dinner,3.0,0.128
38.73,3.0,M,Yes,Sat,dinner,4.0,0.077
24.27,2.03,M,Yes,Sat,dinner,2.0,0.084
12.76,2.23,F,Yes,Sat,dinner,2.0,0.175
30.06,2.0,M,Yes,Sat,dinner,3.0,0.067
25.89,5.16,M,Yes,Sat,dinner,4.0,0.199
48.33,9.0,M,No,Sat,dinner,4.0,0.186
13.27,2.5,F,Yes,Sat,dinner,2.0,0.188
28.17,6.5,F,Yes,Sat,dinner,3.0,0.231
12.9,1.1,F,Yes,Sat,dinner,2.0,0.085
28.15,3.0,M,Yes,Sat,dinner,5.0,0.107
11.59,1.5,M,Yes,Sat,dinner,2.0,0.129
7.74,1.44,M,Yes,Sat,dinner,2.0,0.186
30.14,3.09,F,Yes,Sat,dinner,4.0,0.103
20.45,3.0,M,No,Sat,dinner,4.0,0.147
13.28,2.72,M,No,Sat,dinner,2.0,0.205
22.12,2.88,F,Yes,Sat,dinner,2.0,0.13
24.01,2.0,M,Yes,Sat,dinner,4.0,0.083
15.69,3.0,M,Yes,Sat,dinner,3.0,0.191
11.61,3.39,M,No,Sat,dinner,2.0,0.292
10.77,1.47,M,No,Sat,dinner,2.0,0.136
15.53,3.0,M,Yes,Sat,dinner,2.0,0.193
10.07,1.25,M,No,Sat,dinner,2.0,0.124
12.6,1.0,M,Yes,Sat,dinner,2.0,0.079
32.83,1.17,M,Yes,Sat,dinner,2.0,0.036
35.83,4.67,F,No,Sat,dinner,3.0,0.13
29.03,5.92,M,No,Sat,dinner,3.0,0.204
27.18,2.0,F,Yes,Sat,dinner,2.0,0.074
22.67,2.0,M,Yes,Sat,dinner,2.0,0.088
17.82,1.75,M,No,Sat,dinner,2.0,0.098
