data_sn,M_Site,A_Depth,B_Depth,AB_Height,C_Ohm,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,Zone_Center,Zone_Edge,Zone_Inner Center,Zone_Middle
1,11,2539.9118,1366.164503,351.0016,10.0288,0.515141,99.9427,3.2225,31.2943,33.3943,-0.0227803,-2.19889,64.759,43.5399,3.8801,665.867,730.327,0.208962,137.421,0,0,0,1
2,11,2539.9118,1366.164503,351.0016,10.0288,0.515141,99.9427,3.2225,31.2943,33.3943,-0.0227803,-2.19889,64.759,43.5399,3.8801,665.867,730.327,0.208962,137.421,0,0,0,1
3,11,2539.9118,1366.164503,351.0016,10.0288,0.515141,99.9427,3.2225,31.2943,33.3943,-0.0227803,-2.19889,64.759,43.5399,3.8801,665.867,730.327,0.208962,137.421,0,0,0,1
4,11,2539.9118,1366.164503,351.0016,10.0288,0.515141,99.9427,3.2225,31.2943,33.3943,-0.0227803,-2.19889,64.759,43.5399,3.8801,665.867,730.327,0.208962,137.421,0,0,0,1
5,10,2525.4065,1360.837344,343.8719,9.79299,0.532531,102.896,3.3056,30.503,32.603,-0.022318,-2.23142,67.6617,45.727,3.8981,691.591,732.182,0.182436,137.111,0,0,0,1
6,10,2525.4065,1360.837344,343.8719,9.79299,0.532531,102.896,3.3056,30.503,32.603,-0.022318,-2.23142,67.6617,45.727,3.8981,691.591,732.182,0.182436,137.111,0,0,0,1
7,10,2525.4065,1360.837344,343.8719,9.79299,0.532531,102.896,3.3056,30.503,32.603,-0.022318,-2.23142,67.6617,45.727,3.8981,691.591,732.182,0.182436,137.111,0,0,0,1
8,9,2521.8293,1365.328185,340.8922,9.92756,0.560856,104.256,3.1921,30.8651,32.9651,-0.0237617,-2.23483,66.1524,39.6019,3.80525,665.27,731.266,0.188426,137.536,1,0,0,0
9,9,2521.8293,1365.328185,340.8922,9.92756,0.560856,104.256,3.1921,30.8651,32.9651,-0.0237617,-2.23483,66.1524,39.6019,3.80525,665.27,731.266,0.188426,137.536,1,0,0,0
10,9,2521.8293,1365.328185,340.8922,9.92756,0.560856,104.256,3.1921,30.8651,32.9651,-0.0237617,-2.23483,66.1524,39.6019,3.80525,665.27,731.266,0.188426,137.536,1,0,0,0
11,2,2552.057,1361.317781,350.8379,9.91853,0.518115,100.328,3.0387,31.7877,33.8877,-0.0256955,-2.26362,61.9475,41.3895,3.97343,655.773,733.468,0.153076,134.944,0,1,0,0
12,2,2552.057,1361.317781,350.8379,9.91853,0.518115,100.328,3.0387,31.7877,33.8877,-0.0256955,-2.26362,61.9475,41.3895,3.97343,655.773,733.468,0.153076,134.944,0,1,0,0
