data_sn,target
1,218.2360702
2,223.4312722
3,230.0269801
4,226.4831714
5,230.8911836
6,228.7679168
7,231.30844
8,223.2123302
9,224.6315557
10,231.8019904
11,237.7548898
12,241.8344656
13,241.4486148
14,240.5296083
15,250.4379878
16,213.0186444
17,212.3812965
18,203.393383
19,205.6807974
20,201.0658896
21,209.7946933
22,217.1132958
23,211.1997538
24,221.9735568
25,215.3837849
26,226.0819878
27,239.8574951
28,240.228639
29,245.0673293
30,242.6370832
31,246.242894
32,237.6880502
33,250.1152341
34,240.3113001
35,246.9774858
36,240.8158758
37,238.6756263
38,243.1365818
39,238.1837966
40,242.6390045
41,237.1360959
42,250.5755993
43,247.5714645
44,233.1464841
45,231.2352941
46,223.4766252
47,223.24846
48,217.8399513
49,235.6251713
50,238.0573449
51,236.7453732
52,235.7148875
53,236.4502998
54,239.658796
55,234.1264791
56,232.2179071
57,232.8211694
58,231.8692839
59,228.2431224
60,230.9949419
61,233.4815702
62,230.5507993
63,230.6704904
64,230.0643644
65,231.683638
66,239.2368279
67,233.9154582
68,235.9127483
69,234.3972872
70,234.2495529
71,235.2997918
72,218.6226822
73,224.1174674
74,222.4042101
75,223.3472644
76,222.8986882
77,217.5616517
78,206.8849309
79,202.4966355
80,210.2229547
81,219.9568965
82,212.1180518
83,211.0075985
84,203.2319087
85,203.0889805
86,200.6598663
87,230.9413449
88,231.7066746
89,235.43814
90,234.4159726
91,228.5698465
92,232.2288751
93,221.2878294
94,219.945541
95,223.2821892
96,235.122076
97,237.5529413
98,236.0723904
99,235.2549052
100,202.4958919
101,200.5343748
102,205.5132472
103,230.5837893
104,231.022749
105,223.8302552
106,223.1119794
107,218.9141516
108,232.2842611
109,239.0800042
110,242.2884804
111,221.3648426
112,225.3503691
113,253.9366478
114,256.9761935
115,254.6480049
116,258.4462478
117,224.1954604
118,221.5889186
119,235.4130393
120,235.376074
121,235.3616184
122,260.5797863
123,266.5413831
124,263.3452214
125,265.2020739
126,239.1410915
127,236.1363813
128,257.0660068
129,256.1569081
130,257.002463
131,255.7203003
132,260.2027531
133,260.4632345
134,259.0978325
135,246.3467252
136,252.9266914
137,248.8271991
138,255.5454675
139,247.4288858
140,252.3151641
141,258.3162548
142,257.0189276
143,253.8726328
144,261.783575
145,254.5731452
146,259.2759889
147,256.7523903
148,258.3084189
149,260.5252327
150,194.0520047
151,259.2461852
152,262.3743275
153,198.1035803
154,228.9677014
155,222.8929951
156,216.2186274
157,187.9805993
158,216.4700446
159,227.9609942
160,213.1537032
161,212.3580552
162,225.7617063
163,228.9927521
164,226.0253126
165,221.3930962
166,213.5459308
167,220.1226099
168,224.2899454
169,210.8528482
170,236.8699609
171,230.2217444
172,227.0086439
173,234.6887372
174,232.6501135
175,235.3469482
176,236.4537824
177,236.7452671
178,224.5910339
179,227.3711019
180,231.3660304
181,214.7699249
182,216.9832595
183,221.2905788
184,211.5305556
185,224.2982107
186,217.3687751
187,208.9386196
188,230.7759614
189,220.7422558
190,215.7876007
191,210.8095211
192,223.28015
193,217.6154772
